pos/0,pos/1,neg/0,neg/1,neu/0,neu/1
ukraine,3833,ukraine,3474,ukraine,3090
president,3495,billion,2883,president,2601
comedian,2052,war,2881,magdalena,1647
could,1999,russia,2193,andersson,1513
former,1971,president,1783,recovery,1373
also,1925,50,1399,sweden,1234
law,1825,said,1378,pm,1095
refer,1815,people,1321,king,1074
mention,1813,would,1277,copy,1070
russian,1215,live,1173,letter,1046
united,826,gun,1148,charles,1046
troop,826,heard,1131,swedish,1045
trump,791,concert,1126,xii,1045
fight,783,via,1122,gifted,1037
courageously,747,hire,1119,dated,1036
hid,747,rose,1117,1711,1036
basement,747,satellite,1117,ukrainian,925
protester,747,dollar,1025,grain,907
read,704,already,1016,victory,872
grain,655,spending,989,call,792
negotiation,638,pm,982,volodymyr,784
thanks,603,kyiv,981,world,712
shirt,586,objective,974,johnson,692
million,576,clear,967,following,599
degreemust,570,taxpayer,966,money,587
coupled,552,un,951,kyiv,586
turkey,545,grain,946,met,566
un,538,blocked,939,another,558
u,525,talk,931,tonight,552
create,509,export,924,visit,547
blocked,508,turkey,911,one,544
ton,506,seaport,911,think,497
underway,506,ukrainian,901,russian,483
asked,464,luhansk,870,amp,476
russia,462,destroyed,839,wrote,460
ukrainian,461,visit,832,laundering,450
capitulation,453,johnson,788,trump,448
subtitle,453,visited,784,financing,444
volodymyr,452,town,781,operation,444
like,446,bucha,780,hear,440
win,439,money,778,responsibility,440
peace,419,borodianka,768,b,439
july,415,magdalena,768,putin,433
modern,391,andersson,768,shortly,430
amp,390,heavily,768,democratic,415
back,388,oblast,768,task,412
happy,383,life,759,million,411
people,381,withdrawal,755,un,408
video,363,insisted,745,tax,369
force,352,modern,745,port,362
vow,337,tactical,743,turkey,362
military,336,gambit,743,dependent,360
best,333,preserve,738,luhansk,349
4th,321,russian,690,switzerland,347
showedpresident,316,video,684,force,344
tactic,301,remove,655,project,335
weapon,296,increasing,655,reconstruction,334
thank,294,sending,654,albanese,327
give,288,lost,650,time,323
wish,286,country,648,sport,318
donetsk,285,city,640,eastern,312
said,284,young,614,minister,312
country,283,endless,611,control,310
playing,274,burden,607,u,303
pm,264,boris,555,export,294
putin,261,volodymyr,521,blocked,291
band,261,medium,468,russia,288
supply,261,u,461,currently,285
star,260,victory,448,lysychansk,283
release,258,putin,439,full,280
support,256,forgottenleader,432,tonne,279
spangled,255,story,424,negotiates,279
want,253,call,423,creation,279
say,247,control,423,moved,278
captured,236,say,421,tear,278
take,225,morning,413,hearing,278
must,221,jozelensky,412,wzelensky,277
target,221,fact,406,negotiating,277
call,219,world,405,humble,274
virtue,217,social,399,upbringing,274
shift,217,spam,394,address,264
day,216,tonight,381,lpr,261
europe,216,get,366,prime,257
well,216,july,361,expensive,256
visit,215,biggest,352,say,252
would,211,found,351,common,248
word,206,year,350,said,248
johnson,205,economy,347,today,242
lysychansk,199,julyzelensky,338,wtoday,242
increase,199,territory,332,region,237
party,194,crisis,331,police,235
protect,193,4,322,claim,233
love,190,including,316,declared,233
probyn,186,amp,315,donbas,226
minister,184,empty,315,night,220
w,180,promise,314,english,219
opportunity22,180,liar,313,congratulated,219
praise,179,pledge,312,appeal,215
stop,175,update,310,subbed,215
get,170,retake,308,officer,215
freedom,170,fooling,307,country,204
banned,170,last,306,war,203
prize,167,pathological,304,liberation,201
birthday,166,win,304,professional,199
supporting,165,weaponryzelensky,294,holiday,195
gift,164,monday,282,whole,194
australian,164,reconstruction,280,increased,191
keep,163,battlefieldanother,275,coke,191
opposition,161,pincher,270,zelenskyzelensky,190
state,161,hold,253,vladimir,188
possible,160,severs,250,regarding,187
every,156,battered,247,nato,185
war,154,phone,239,decided,184
particular,154,need,223,real,184
andrew,154,common,223,get,183
referring,153,another,221,connection,182
abc,152,nato,204,lugano,174
kyiv,149,new,203,july,173
drop,146,go,192,nation,172
ban,144,think,190,day,168
5,142,back,190,zelenskyexpect,168
asset,141,enough,183,plan,168
hero,141,lie,178,local,167
flag,140,000,177,joint,167
emma,140,day,175,estate,164
thompson,140,going,173,inner,163
unable,140,troop,173,circle,163
standard,140,one,172,already,162
signal,140,destroy,171,buying,161
replied,140,western,170,investment,161
start,140,rebuild,170,politicizing,159
forever,140,want,163,billion,154
ioc,140,could,163,go,152
student,137,no10,162,donetsk,150
today,136,ukramoney,161,left,148
university,135,chris,160,yearzelensky,148
make,134,weapon,159,telegrfirst,147
without,133,wake,158,opinion,146
truth,131,challenged,158,discussing,144
one,130,kadyrov,158,message,143
strong,130,post,157,4th,143
help,130,leader,153,told,142
leader,129,fake,151,denial,139
met,129,zelenskyzelensky,148,getting,137
given,129,lysychansk,148,news,137
prime,128,much,147,kingdom,137
independence,126,making,144,citizen,136
along,126,force,144,second,135
japanese,125,35,143,statement,135
know,124,resign,141,dpr,131
see,122,biden,140,would,131
patch,122,fall,139,odessa,130
nazi,119,pitch,138,fall,130
think,118,absolute,136,need,129
standing,118,fight,135,ago,129
claim,117,forgottenzelensky,133,government,128
world,116,rocket,133,even,126
